%Time, Value
12:53:09, 280
12:53:09, 296
12:53:09, 272
12:53:09, 235
12:53:09, 228
12:53:09, 211
12:53:09, 160
12:53:09, 119
12:53:09, 144
12:53:09, 183
12:53:09, 193
12:53:09, 166
12:53:09, 129
12:53:09, 102
12:53:09, 112
12:53:09, 125
12:53:09, 121
12:53:09, 147
12:53:09, 176
12:53:09, 188
12:53:09, 234
12:53:09, 289
12:53:09, 323
12:53:09, 341
12:53:09, 353
12:53:09, 349
12:53:09, 353
12:53:09, 342
12:53:09, 356
12:53:09, 370
12:53:09, 314
12:53:09, 242
12:53:09, 178
12:53:09, 164
12:53:09, 186
12:53:09, 231
12:53:09, 240
12:53:09, 225
12:53:09, 221
12:53:09, 228
12:53:09, 198
12:53:09, 166
12:53:09, 181
12:53:09, 198
12:53:09, 202
12:53:09, 192
12:53:09, 168
12:53:09, 172
12:53:09, 157
12:53:09, 114
12:53:09, 98
12:53:09, 109
12:53:09, 96
12:53:09, 84
12:53:09, 69
12:53:09, 84
12:53:09, 138
12:53:09, 205
12:53:09, 285
12:53:09, 283
12:53:09, 251
12:53:09, 292
12:53:09, 429
12:53:09, 586
12:53:09, 694
12:53:09, 647
12:53:09, 587
12:53:09, 594
12:53:09, 617
12:53:09, 611
12:53:09, 557
12:53:09, 537
12:53:09, 604
12:53:09, 627
12:53:09, 550
12:53:09, 475
12:53:09, 482
12:53:09, 552
12:53:09, 599
12:53:09, 667
12:53:09, 726
12:53:09, 707
12:53:09, 694
12:53:09, 676
12:53:09, 640
12:53:09, 608
12:53:09, 601
12:53:09, 576
12:53:09, 546
12:53:09, 539
12:53:09, 550
12:53:09, 516
12:53:09, 426
12:53:09, 362
12:53:09, 372
12:53:09, 420
12:53:09, 409
12:53:09, 376
12:53:09, 357
12:53:09, 349
12:53:09, 322
12:53:09, 321
12:53:09, 313
12:53:09, 282
12:53:09, 259
12:53:09, 244
12:53:09, 242
12:53:09, 203
12:53:09, 169
12:53:09, 165
12:53:09, 201
12:53:09, 273
12:53:09, 269
12:53:09, 219
12:53:09, 235
12:53:09, 250
12:53:09, 219
12:53:09, 188
12:53:09, 188
12:53:09, 311
12:53:09, 426
12:53:09, 363
12:53:09, 247
12:53:09, 157
12:53:09, 132
12:53:09, 184
12:53:09, 217
12:53:09, 171
12:53:09, 232
12:53:09, 336
12:53:09, 339
12:53:09, 283
12:53:09, 215
12:53:09, 172
12:53:09, 236
12:53:09, 312
12:53:09, 279
12:53:09, 152
12:53:09, 23
12:53:09, -34
12:53:09, -89
12:53:09, -153
12:53:09, -186
12:53:09, -178
12:53:09, -165
12:53:09, -167
12:53:09, -187
12:53:09, -187
12:53:09, -154
12:53:09, -118
12:53:09, -174
12:53:09, -242
12:53:09, -246
12:53:09, -236
12:53:09, -258
12:53:09, -284
12:53:09, -306
12:53:09, -324
12:53:09, -321
12:53:09, -299
12:53:09, -324
12:53:09, -357
12:53:09, -374
12:53:09, -354
12:53:09, -316
12:53:09, -337
12:53:09, -394
12:53:09, -409
12:53:09, -403
12:53:09, -382
12:53:09, -341
12:53:09, -346
12:53:09, -370
12:53:09, -354
12:53:09, -347
12:53:09, -321
12:53:09, -259
12:53:09, -236
12:53:09, -263
12:53:09, -296
12:53:09, -332
12:53:09, -350
12:53:09, -264
12:53:09, -210
12:53:09, -246
12:53:09, -301
12:53:09, -337
12:53:09, -295
12:53:09, -234
12:53:09, -216
12:53:09, -228
12:53:09, -264
12:53:09, -264
12:53:09, -186
12:53:09, -92
12:53:09, -29
12:53:09, 7
12:53:09, 25
12:53:09, 38
12:53:09, 57
12:53:09, 74
12:53:09, 85
12:53:09, 55
12:53:09, 33
12:53:09, 35
12:53:09, 24
12:53:09, -14
12:53:09, -20
12:53:09, -2
12:53:09, -4
12:53:09, -11
12:53:09, -43
12:53:09, -109
12:53:09, -165
12:53:09, -210
12:53:09, -250
12:53:09, -254
12:53:09, -273
12:53:09, -294
12:53:09, -322
12:53:09, -375
12:53:09, -376
12:53:09, -363
12:53:09, -344
12:53:09, -290
12:53:09, -266
12:53:09, -293
12:53:09, -275
12:53:09, -235
12:53:09, -220
12:53:09, -242
12:53:09, -253
12:53:09, -245
12:53:09, -252
12:53:09, -324
12:53:09, -358
12:53:09, -418
12:53:09, -521
12:53:09, -605
12:53:09, -632
12:53:09, -627
12:53:09, -642
12:53:09, -674
12:53:09, -684
12:53:09, -657
12:53:09, -641
12:53:09, -646
12:53:09, -668
12:53:09, -651
12:53:09, -571
12:53:09, -531
12:53:09, -556
12:53:09, -568
12:53:09, -532
12:53:09, -474
12:53:09, -428
12:53:09, -389
12:53:09, -358
12:53:09, -365
12:53:09, -356
12:53:09, -305
12:53:09, -281
12:53:09, -302
12:53:09, -325
12:53:09, -286
12:53:09, -190
12:53:09, -121
12:53:09, -164
12:53:09, -188
12:53:09, -161
12:53:09, -99
12:53:09, -9
12:53:09, 88
12:53:09, 131
12:53:09, 114
12:53:09, 67
12:53:09, 124
12:53:09, 205
12:53:09, 199
12:53:09, 166
12:53:09, 169
12:53:09, 195
12:53:09, 179
12:53:09, 156
12:53:09, 135
12:53:09, 145
12:53:09, 193
12:53:09, 277
